epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,1894.99,0.7138,0.50078,1.08188,0.97397,0.97442,0.99185,0.86526,0.61721,0.32842,1.00029,0.000990365,0.000990365,0.000990365
43,1939.79,0.70611,0.48305,1.06432,0.98648,0.96717,0.99283,0.86336,0.60708,0.32835,0.99173,0.000973861,0.000973861,0.000973861
44,1984.7,0.70682,0.48227,1.06344,0.97769,0.98225,0.99322,0.86365,0.61028,0.31407,0.99008,0.000957358,0.000957358,0.000957358
45,2029.59,0.68475,0.4686,1.05719,0.97285,0.96782,0.99194,0.85261,0.63199,0.33591,1.0174,0.000940855,0.000940855,0.000940855
46,2074.49,0.69388,0.48837,1.06737,0.98177,0.96064,0.9929,0.86421,0.61174,0.31909,0.9987,0.000924352,0.000924352,0.000924352
47,2119.47,0.68065,0.46512,1.05735,0.98834,0.9725,0.99286,0.86376,0.60576,0.31809,1.00365,0.000907848,0.000907848,0.000907848
48,2164.18,0.67884,0.46525,1.05157,0.98039,0.97535,0.99179,0.85936,0.61462,0.31436,1.00873,0.000891345,0.000891345,0.000891345
49,2209.17,0.67899,0.46866,1.04842,0.99431,0.96701,0.99301,0.86282,0.61479,0.30798,0.99862,0.000874842,0.000874842,0.000874842
50,2253.97,0.67687,0.45663,1.04693,0.98416,0.97499,0.99242,0.87396,0.59183,0.3039,0.9937,0.000858338,0.000858338,0.000858338
51,2298.93,0.66224,0.44964,1.04636,0.98234,0.97786,0.99343,0.86953,0.58824,0.3017,0.98772,0.000841835,0.000841835,0.000841835
52,2343.65,0.67125,0.45834,1.05649,0.97936,0.97528,0.9926,0.87752,0.57915,0.30245,0.99026,0.000825332,0.000825332,0.000825332
53,2388.46,0.66249,0.44419,1.04469,0.98732,0.9712,0.99317,0.87482,0.58486,0.29405,0.98426,0.000808828,0.000808828,0.000808828
54,2433.1,0.66863,0.44596,1.05026,0.98021,0.98095,0.99356,0.86636,0.60819,0.29474,0.99847,0.000792325,0.000792325,0.000792325
55,2478.05,0.66135,0.436,1.04199,0.97271,0.96836,0.99259,0.87844,0.56588,0.30572,0.97305,0.000775822,0.000775822,0.000775822
56,2522.69,0.64456,0.43909,1.03849,0.98645,0.96642,0.99303,0.87307,0.59017,0.29802,0.99035,0.000759318,0.000759318,0.000759318
57,2567.5,0.66095,0.43449,1.04056,0.98061,0.97839,0.99334,0.88254,0.57819,0.29107,0.98114,0.000742815,0.000742815,0.000742815
58,2612.26,0.64694,0.4231,1.03288,0.98254,0.9818,0.99317,0.88525,0.56627,0.28692,0.97824,0.000726312,0.000726312,0.000726312
59,2657.17,0.63664,0.42316,1.02642,0.98634,0.97542,0.99253,0.8873,0.55963,0.28359,0.97698,0.000709809,0.000709809,0.000709809
60,2702.23,0.64711,0.41747,1.03705,0.98022,0.98027,0.99376,0.88302,0.56765,0.27614,0.98222,0.000693305,0.000693305,0.000693305
61,2747,0.64933,0.42392,1.03955,0.9904,0.98278,0.99431,0.8823,0.57665,0.27457,0.97816,0.000676802,0.000676802,0.000676802
62,2791.85,0.63892,0.41565,1.02917,0.98788,0.98302,0.99448,0.88296,0.57409,0.27427,0.98176,0.000660299,0.000660299,0.000660299
63,2836.28,0.62063,0.40773,1.01975,0.99451,0.97943,0.99437,0.89019,0.55095,0.26955,0.96656,0.000643795,0.000643795,0.000643795
64,2880.82,0.63459,0.41912,1.03154,0.99183,0.97954,0.9944,0.88793,0.55602,0.26685,0.97368,0.000627292,0.000627292,0.000627292
65,2925.51,0.62001,0.40313,1.02292,0.98809,0.97651,0.99336,0.88332,0.57323,0.27616,0.97782,0.000610789,0.000610789,0.000610789
66,2969.98,0.62334,0.40625,1.02582,0.99367,0.97445,0.99402,0.88729,0.56436,0.27322,0.96911,0.000594286,0.000594286,0.000594286
67,3014.55,0.60995,0.39743,1.0194,0.98097,0.97669,0.99156,0.8893,0.55681,0.27551,0.9777,0.000577782,0.000577782,0.000577782
68,3059.06,0.6143,0.39486,1.02142,0.99405,0.98526,0.99454,0.89523,0.54566,0.26071,0.96319,0.000561279,0.000561279,0.000561279
69,3103.46,0.61035,0.39378,1.02047,0.99676,0.97058,0.99446,0.88754,0.56529,0.26607,0.97335,0.000544776,0.000544776,0.000544776
70,3148.12,0.60916,0.39625,1.01937,0.98605,0.98127,0.99356,0.89274,0.54706,0.26904,0.96501,0.000528272,0.000528272,0.000528272
71,3192.65,0.59193,0.39061,1.00651,0.9866,0.98671,0.99445,0.89373,0.54931,0.26461,0.95896,0.000511769,0.000511769,0.000511769
72,3237.05,0.60913,0.39321,1.01702,0.997,0.97976,0.99453,0.89254,0.55141,0.26327,0.96547,0.000495266,0.000495266,0.000495266
73,3281.45,0.60466,0.38765,1.01383,0.99138,0.98878,0.99463,0.88807,0.56237,0.26361,0.96526,0.000478762,0.000478762,0.000478762
74,3325.93,0.59128,0.37879,1.01073,0.99011,0.98881,0.99482,0.88993,0.56312,0.2598,0.96739,0.000462259,0.000462259,0.000462259
75,3370.57,0.59178,0.38135,1.01026,0.98932,0.97971,0.99456,0.8896,0.56114,0.26459,0.9691,0.000445756,0.000445756,0.000445756
76,3415.08,0.59237,0.38601,1.01267,0.98786,0.98066,0.99426,0.88745,0.56323,0.26141,0.96338,0.000429253,0.000429253,0.000429253
77,3459.54,0.59077,0.37123,1.01076,0.9863,0.98465,0.99432,0.89755,0.5365,0.2574,0.95479,0.000412749,0.000412749,0.000412749
